,Rate,Review,Label
821,1.0, Quán ngon bổ,pos
584,4.8, Nằm ở vị trí tương đối trung tâm hơn nữa lại gần nhà nhưng mình chỉ đến đây đúng lần gì đấy rồi nản luôn lí do nhân viên làm mình thật sự rất thất vọng ừ thì quán vắng có mỗi mình mình thôi nhưng có nhất thiết phải hét lớn để gọi một nhân viên khác không Trong khi nhân viên khác đấy cách còn chưa đến bước chân mà cả đắt hơn Domino lượng ăn trong tâm trạng bực dọc nên cũng chả ngon mấy đâu,neu
666,2.0, Quán ở đây bẩn ông già ngồi làm nước cho khách mà lúc bỏ đá lạnh vào cốc lại dùng tay thấy tay ông này mới nhặt đá từ đất lên ko chịu dc colonthree emoticon thức ăn thì nem lụi nướng ở ngoài còn cách mặt đất có tầm thằng gì to to cao cao ko biết là chủ hay là nhân viên thì hách toét với mấy bác làm quét dọn môi quán này,neg
351,5.0, Với tớ lần nào đi Royal City cũng là thử thách vì nó quá rộng hoài tìm quán pizza mà không tìm tớ bất chợt đi qua con phố nhìn siêu nghệ thuật sự tớ vô cùng thích không gian ở đây Cảm giác như bước vào Hà Nội be bé xinh mấy quán hàng ăn nho nhỏ nhìn thích mắt kinh khủng và vì cái không gian đẹp siêu đẹp siêu Hà Nội như vậy đã khiến tớ dừng chân lại nơi thôi nhưng không Ngon Ngon đã không là Ngon của ngày Hồi quán có ở HĐT tớ cũng mon men đi không quá xuất sắc nhưng không tới mức vô vị như bây ăn mà dùng từ vô vị thì các cậu hiểu nó chán tới mức nào Khi ăn tớ cảm thấy vô cùng xúc phạm vị giác bởi tớ đang từng ăn những quán vỉa hè và chất của họ gấp trăm lần các cậu gánh hàng rong nhìn đáng yêu mà lại có những món vô cùng nhạt nhẽo Món nào cũng nhạt cũng không đậm vị thay cho không gian sự đầu tư về hình thức tới Hi vọng quán sẽ sớm lấy lại cảm xúc với món ăn cho khách hàng,neu
40,9.2, Bị cuồng mọi thứ có caramen ở chài crm crm chanh crm trà Quán mới có thêm crm matcha phê lắm lun nào đến ăn cũng kiểu đáng đồng tiền bát gạo quán nhìn sạch nhân viên nhiệt tình lúc nào cũng gào tên khách đến khổ mỗi tội quán nhanh hết đồ vch chắc vì đông khách ý nhiều đến mua về đợi mới có nhưng thôi chè ngon thì đợi cũng đáng bạn có thể ỏder cả đồ ăn vặt các quán bên nữa mê cả tok với thịt xiên nem nướng sao cho ngày nào cũng mún đến ăn tốn xèng qớ huhu,pos
589,4.2, Mình ăn ở đây vào buổi tối mùa Quán ngay khu phố cổ nên cũng đông Chè bà cốt ở đây cũng vừa dù mình đánh giá là không ngon không đặc sắc như độ nổi tiếng của,neu
450,4.2, Lâu kinh tại nơi cũng rất thái độ cũng k niềm Lần trước đến quán ít m gọi set nhưng đồ ăn mang ra rất salad và khoai tây ăn gần hết đồ mới m cũng phải ra giục mới ship thì hẹn nhưng tiếng sau m gọi vẫn k có đòo và yêu cầu chờ thêm thấy chi nhánh kfc ở đâu lại lâu như ở Kể cả phục vụ tại cửa hàng lẫn,neu
454,4.2, Đồ ăn ở đây không Gimbap cuốn không chặt cơm Kim chi muối không Mình có gọi một cơm trộn bạch tuộc thì bạch tuộc cứng và cơm bị Phục vụ chậm,neu
992,4.0, Ko biết có phải hôm đó số mình xui nên ăn phải kem họ để lâu rồi chứ thật sự là thất vc ăn kem xong sang bodega ăn thử luôn mà cùng thốt lên câu nào của các bạn thử lên ăn kem hồ tây sẽ thấy ở đó kem y hệt kem tràng tiền mà cũng chỉ,neg
399,5.0, Quán quá Chỉ toàn người chen không thích ăn ở những chỗ kiểu này lắm mà vì quá đói nên chui vào ra là trong lúc đang phân vân thì có chú ra giục xuống xe chú dắt cho câu kéo khách hơi sang hẳn hàng bên cạnh chả số Hàng để kéo khách người ta Mà hàng bên cạnh không nói câu vụ cũng bt không nhanh lắm đông Mình ngồi ngay tầng sát cửa cho đỡ phải đi Nói chung là đông đúc ồn ào khó chịu bún chả và chả cũng thấy ngon hơn các quán sinh viên nhưng nước chấm ngọt quá và thực sự không có gì thú Nem cua thì quá chán chứ không phải chán toàn hạt không có vị cua gì lại là ăn thử lần cái có anh dắt xe khá là cute nhiều nhân viên dắt xe,neu
794,2.0, Bánh mỳ bate trứng thịt dùng thịt và bate không biết từ đời thuở nào ăn kinh ơi là Bánh mỳ chảo thì khỏi siêu lần và mãi mãi ko bao h quay,neg
477,5.0, CHẲNG BAO GIỜ QUAY LẠI DON CHICKEN Chẳng phải vì đồ ăn không ngon hay gì mà là chú bảo vệ ở đây QUÁ ĐÁNG qua mình với đứa bạn có qua đây Tới lúc vì mới có phường đi qua nên xe bị xếp đi tứ nhỏ bạn mình có tìm mà không thấy xe với cũng không nhớ biển số chỉ nhờ chú lấy dùm xe lead màu xanh ngọc và được buông câu giấy tờ xe với thái độ cực kì khó Bọn mình cũng khá sốc khi nhận được câu trả lời như lúc đấy còn nghĩ là xe bị phường thu rồi Xong cũng sợ chạy loạn lên cùng chú bảo vệ đó ngó nghiêng tìm cuối cùng thấy xe ở tít trong cái góc tối rồi tiếp tục bị dằn mặt sau không nhớ biển số xe thì không giữ xe xe mà ko nhớ biển với giọng bực mình ra mặt thiếu điều chửi Bọn mình mới nói lại là sao chú cứ khó chịu thế bình thường đi gửi xe cũng đâu nhất thiết phải nhớ biển số ở đây cũng có thèm phát vé cho khách chẳng hiểu chú trông xe kiểu gì mà lại nói như mắng khách Chú lại tiếp tục quát với theo mình một câu được mấy triệu đoạn sau mình không nghe thì nói chung đứa bọn mình ăn hết có thôi cũng ko đến cũng chẳng phải khách vip nhưng ôi thôi gặp chú bảo vệ căng thẳng Mình chưa bao giờ thiếu tôn trọng với người lớn tuổi kể cả ngta có làm nghề lúc nào nhờ lấy hộ xe cũng ko quên câu cảm Nhưng thật sự mình nhỏ tuổi cũng đáng được tôn trọng Nói thật giá của Don Chicken cũng chẳng phải với Mà nhận lại được những câu nói thế này thì hoá ra mình đi ăn xin chứ không phải mình bỏ tiền ra Dù đồ ăn ở Don có không ổn định về chất có những ngày phải đợi rất lâu nhưng mình vẫn quay lại vì thái độ nhân viên rất ngoan và nhiệt tình nhưng DUYÊN CẠN Chào Don nhé Hà Nội nói thật chẳng thiếu quán gà ngon,neu
217,9.2, View cho thanh niên check in post ra chưa bao nhưng hi hôm qua xem,pos
769,3.0, Hình ảnh chỉ mang tính chất minh không đúng với sản phẩm,neg
625,1.8, Quán này giờ ăn cực chán và rất hôm trước đi gọi món ăn chán quá mà Mình nghĩ do không biết gọi liền chạy vòng quanh chỗ nấu nướng nhưng cũng y như đầu vào thì đúng là ngon và giá cả hợp giờ tệ và thua ngay cả Món Huế mặc dù cửa hàng Quán đợi thì lâu thôi rồi lượm đáng Quán Ngon Phan Bội Châu,neg
701,4.0, Lần đầu ăn ở đây sau khi search trên là quán Không tính đến việc do ở đây gần khu tập thể cũ nên nhỏ Thì khi bọn tớ sàn nhà toàn giấy ăn rơi vãi không được viên chưa kịp ngồi xuống thì anh nhân viên nhắc món luôn đi tí lại phải nhầm bill cho bọn mình lên gấp mà nhờ sửa lại gọi lần chị nhân viên mới ngúng nguẩy gạch kèm thái độ rất khó mì không có sốt ăn kèm ăn bánh nên lại càng cộng duy nhất là giá mềm hơn chỗ Nhưng so với chất lượng thì cũng chẳng phải,neg
185,10.0, Rất thích đồ ăn của quán từ khi ở tít trong cái ngõ ở Thái Hà Mình cũg thử gần hết các món trừ các loại bún ra vì cái j cũg ngon lần nào đến cũg muốn ăn mãi những thứ đã từng tủ của mình là bánh tráng cuốn thịt và rẻ cuốn mà có tôm í mình thấy hơi đắt vì cuốn toàn cuốn nên mình ưng món bánh tráng thịt heo tấm sườn ngon cực cả chả giòn mỗi món thêm mấy k sâm dứa hơi thử mấy loại r nhưng k nhớ tên cơ mà thấy uống coke là thich vào ăn hết gồm bánh xíu bánh tráng coke và chè thêm cơm chắc khoảng no và đc nh ra đến cửa đã có nv dắt xe xuống vỉa hè,pos
442,4.6, Không có gì ấn tượng,neu
258,9.0, Hnay qua an cảm thấy rất hài lòng món ăn nóng hổi phục vụ nhanh nhẹn đồ uống vừa miệng bánh tiramitsu ngon hết lúc mấy cái mà ko chán,pos
451,5.0, Mình đến ăn mà đợi rõ xong ngồi ăn thì gần đến giờ đóng nhân viên dọn dẹp như đuổi,neu
452,5.0, Địa điểm Lý Thường Hoàn trước mình có vào đây uống với mấy người Mình có đôi lời nhận xét ở đây nhất là không gian khá sạch sẽ và thoáng hai là tác phong phục nhanh vui hòa chu luôn luôn mỉm cười với Đây là điểm mình rất hài ba là về đồ do mình thích uống ngọt nên cảm thấy mấy lần đi uống ở đây nước khá Không vừa miệng hơi mắc chút xíu à,neu
453,4.8, Lẩu SUMO BBQ được cái không lịch sự trên toàn hệ Nhưng gia đình e mấy lần phải tẩy ruột vì ăn ở Quán Sứ,neu
909,3.4, Mình đến đây ăn lần vào tháng vừa Đồ Bún bò Huế nhưng lại ăn với quẩy vị bình thường ko ngon có phần đã biến dị vị của bún bò huế đi Nhân viên phục đầu là ngay ngày quán cũng khá thoải nhân viên phục vụ rất nhanh đã mang đồ ăn Mình đi với bạn và mình được ngồi bàn thứ mình đến đây là đi thì lúc đến đây là khoảng gần sáng chưa có đông khách mà các bạn nhân viên phục vụ đã chỉ mình ngồi ghép bàn với người khách mặc dù quán còn trống nhiều và bàn vẫn chưa kín thứ mình đến đây là đi với bạn vừa bước vào cửa đã bị chỉ ngồi ghép bàn ngay với những người lúc ấy quán không đông và bàn vẫn còn có nhiều và người ăn xong sẽ nhưng nv phục vụ cứ ghép ngồi chug bàn với khách khác mình cảm thấy rất là khó chịu và bực,neg
249,10.0, Rất ngon,pos
645,1.6, Quán không gian bày trí bắt đánh lừa thực khách Đồ menu các vị liên quan bluberry hết sớm chắc do vị dễ ăn những đồ còn lại trong menu thì chưa có cơ hội thử nhưng vì đã ăn vị Brownie bing su quá khủng khiếp brownie khô mà như bỏ vào miệng viên lương khô hết hạn bánh ngọt gọi thêm tên oh my God càng dở hơn do bánh để lâu rồi hơn là cho phép hay sao nên socola cùng tất cả cái bánh cứng ngắc k còn mùi vị gì mặc dù Nhìn Bắt Mắt thôi thật sự không có lần sau lui tới quán này thêm nữa,neg
660,3.4, Đồ ăn không phong phú đồ nướng phục vụ dùng không đậm không gian khá chật Nhân viên phục vụ khá nhiệt hải sản và rau củ quả khá tươi,neg
924,4.0, Sẽ chẳng bao giờ đến đây Xem các bạn bình luận ở trên mà không biết có phải ở đây nhiệt tình tùy từng lúc Thái độ phục vụ khá nhân viên nhẹ nhàng từ tốn nhưng phong cách phục vụ chậm chạp và thiếu chuyên nghiệp Phải mất đến phút thì mới có đĩa thịt mang ra cho bàn trẻ em ăn ít nên không nói làm phải nhắc đến lần thứ may ra mới mang thịt Thức ăn hải sản tự lấy thì bọ bay nhìn thực sự không muốn ăn chút Mà mình thấy so với nhiều nhà hàng BBQ khác việc thay vỉ nướng và than chỉ khoảng lần là cùng nhưng cả bữa tiếng đồng hồ mình phải thay vỉ đến Cuối bữa đã gọi bánh lại đợi thêm phút nữa nhưng lại thông báo là đã Thực sự là sẽ chẳng bh quay lại đây,neg
490,5.0, Mình vào cả đều phục vụ rất đồ ăn bình thường,neu
685,2.8, Vợ chồng ôn lại kỉ niệm vào đây ăn mà khác bán hành kiểu này mà vẫn đắt hàng thì lạ thật đấy,neg
525,4.2, Bún cá nhiều nhiều giá cả và chất lượng đáng khen ngợi ở khu phố Tuy nhiên mình thấy mùi vị cũng bình ngon nhưng không quá đặc Ngoài ra còn có món cá cuốn ăn nhưng hương vị cũng chỉ ngon bt,neu
818,3.6, Nchung là đồ nướng ngon nhưng giá mắc quán thì to nhưng mà ngồi ăn max nóng vì là quán nướng nên tình trạng nóng là không tránh khỏi nchung vẫn nên khắc phục nhược điểm này,neg
265,9.0, Nhà hàng ngay mặt đường khá to dễ chỗ để xe cũng thoải Mình ăn vào ngày chủ nhật trc hôm nên khá là gọi điện đặt bàn thì lễ tân bảo chỉ còn bàn tầng Cũng may là có thang máy mỗi tội chờ thang hơi lâu Không gian nhà hàng khá sang trọng lịch sự dùng voucher buffet nướng giảm còn đưa luôn cho nhân viên trc khi gọi Dùng voucher nhưng thái độ phục vụ cũng ok nhân viên tuy có chị hơi lạnh lùng gọi đồ chỉ gật gật nhưng thôi ksao ngồi vào là bàn mình đc bê ra cho đĩa bánh tròn tròn vàng vàng gì đó mình cũng k biết tên nhưng ăn ngon đĩa bát và mấy thứ panchan như củ Về đồ nướng thì tẩm ướp ăn cũng nhưng k đc đậm đà phải chấm nhiều nhiều Cứ đặt đồ lên bếp hết là phải gọi tiếp luôn vì đồ mang ra khá Ăn nướng xong thì còn đc nồi lẩu nước lẩu chua chua cay cay khá đĩa đồ đầu tiên mang ra kèm lẩu tổng hợp cả cũng khá ít loại thấy có mỗi cải thảo và cải váng đậu thì hôm ý lại k Đồ tráng miệng cũng k nhân viên kể ra có loại chè mình ăn thử chè hạt é thì ăn đc vài thìa thôi vì k thích đồ ngọt chè nếp cẩm ăn cũng Gọi đồ tráng miệng max lâu nhà mình định đứng lên đi về thì ng ta bảo đồ lên r đây ạ nên lại ngồi chờ ăn nốt điểm nữa là ăn nướng k có cái hút khói ngay trên bếp như nhiều nhà hàng nhưng lại k thấy bị quần áo k bị ám mùi tí nào luôn nhà hàng khá OK với giá rẻ mà chất lượng ổn,pos
238,10.0, Kết cái chuối chiên Thêm sốt sô vào ăn khác lúc Đến đây còn hay dc gặp ng nổi tiếng nữa,pos
646,3.8, Đã ăn bánh mì và bingsu ở Bánh thì hơi khô không Bingsu thì ngọt quá không có cảm giác ăn giồng bingsu của Hàn,neg
697,3.8, Chẳng biết nó vị gì Giá thì thịt bò thì vừa mỡ vừa Chẳng hiểu sao quán vẫn đông Hay mng cũng như mk tới ăn thử và thất vọng tràn Thật là k quay lại thêm lần nào nữa,neg
379,4.6, Quán không gian đồ ăn ra nhanh và chất Hôm nay mới ăn Sẽ quay lại quán thêm để thử món,neu
404,5.0, Quán đông sẽ suất bún chả đầy đặn nhiều phết coca vụ tốt mỗi tội giá hơi chát với học sinh như bọn suất bún chả vs lon coca đã hết gần sợ thật,neu
639,3.6, Ngày chủ nhật với một trải nghiệm tệ hại tại Nhất bạn có thể chủ động chọn một nơi để thưởng thức đồ đừng ghé nơi này trừ phi bạn tới do bạn bè mời hoặc chỉ muốn tới một nơi ăn cho no rồi gian quán vô cùng chật hẹp hãy tưởng tượng bạn tới ăn tại một quán karaoke với cả chục bàn ăn dồn trong một phòng của mỗi và mỗi tầng chỉ có một Tầng trệt trông như phòng đợi của nhà nghỉ nơi những khách đợi bàn hoặc đợi bạn ngồi ườn ra như chuẩn bị xách đồ lên xe đò về Bạn sẽ giật mình và tự hỏi nơi này giống quán ăn tầng chỉ rộng chừng và có cả chục bàn và để sắp xếp được thì quán cho nâng sàn lên cao cả nửa mét và bắt bạn bỏ rồi thụt xuống nửa mét trở lại tại vị trí bàn ăn để bạn để nghĩa là bạn ngồi lên Tất cả nhằm mục đích hạn chế sự đi lại và nén được nhiều bàn nhất có viên mặc như người chào bán bảo váy zip tai nghe bluetooth và máy tính mọi thứ liên quan tới ẩm thực như tàng hình ở đâu buộc lòng phải tới đừng bao giờ nói bạn đi hai người hãy nói bạn đi người và người thứ đang bạn sẽ phải trải qua cảm giác kinh khủng như chúng hai người ngồi hai góc của đầu một cái bàn đã có sẵn cả năm bẩy người của một nhóm nào Chúng tôi ngồi vào như thể mình là một thứ thừa thãi của thế giới và được nhồi nhét cố cho hết vị giác ăn uống thưởng thức đồ ăn hoàn toàn biến tôi chỉ muốn nhấc chân thật nhanh rời khỏi quán ăn kinh hoàng này sau khi ăn và đợi để có một nồi lẩu bạn là một cặp tình những người bạn làm một gia đình người coi trọng không gian ăn uống và sự dễ quán này là địa chỉ bạn nhất định phải bỏ khuyết điểm của quán không tới từ lỗi của chủ quán mà hoàn toàn do không gian quá chật hẹp mà lại muốn nhồi số lượng bàn nhiều nhất có Những ấn tượng khủng khiếp này sẽ khiến bạn bỏ chạy ngay lập,neg
50,9.0, Kem Tràng Tiền quá là nổi tiếng luôn r nạ ai đến HN chắc chắn đều ghé qua ăn thử Vào mùa hè thì để mua đc cái kem chắc phải xếp hàng chật vật chưa kể đến lượt còn hết kem đi ăn hôm mùa đông giá rét thế là chẳng phải xếp hàng chờ đợi ai hết lần đầu ăn kem tươi ở đây chứ bt toàn ăn kem kia k kem ngậy còn quế thì ngon giòn nói chung là lên Hn sẽ còn ddến đây dài,pos
749,3.4, Mùi bàn ghế bò mùi cũng khó đặc trưng bún bò Huế,neg
327,5.0, Khoa mình đi liên hoan ở Gần chục mống toàn các bà sành Rượu sake tặng thì đúng kiểu sake tiêu chuẩn vodka đặt bàn yêu cầu có nhân viên đứng nướng hộ cuối cùng chả réo mãi mới cho em nv mới thử việc ngày đầu tiên lên đứng Em nv chuyên bê đồ cho bàn mình thì mặt nặng mày kêu rạc cổ ko thấy đồ đâu toàn phải nhắc tới nhắc Bọn mình ngồi xúm vào một mâm nướng nên toàn trong tình trạng gác đũa nhìn nhau k có j nhiều ng phải về sớm đi dạy mới chỉ ăn đc có mấy Lẩu mang lên thì chỉ có rau k có lại phải nhắc mới mang ngô thả lẩu thì bị Cá trứng với râu mực ko thịt ướp k có vị bánh xèo toàn cứu vãn đc đúng món thạch rau câu tráng miệng là ko ăn thì hết than nên nhờ nv thay ko lấy than mới mà mang than cũ sắp tàn của bàn khác nên lại dài cổ đợi nướng mãi ko đc đồ lại còn dai Cái ống hút mùi thì chả ăn ăn xong mùi ám đầy đến cuối thế nào nó còn tự động thổi bung hết cả muội than trắng xoá vào đầu tóc với đồ ăn ko gian cũng ko đến nỗi nào mà chất lg quá thà giá cao lên mà làm ăn tử tế còn Đang ăn thì nv còn lên là bếp nhà em chỉ làm đến thôi trời đồ thì ko mang cho ngta ăn xong lại còn đi nhắc đuổi khách nữa Ko bh quay lại,neu
677,2.4, Không gian quán chật mình với bạn mình đến ăn khoảng quán cũng ko đông lắm nhưng nv lại ko chịu dọn vệ sinh bàn sàn nhà khiến cho quán nhìn bẩn chật chội Sốt vang bình hơi bánh mì nhìn bẩn dưa chuột bị nhân viên phục vụ ko nhiệt,neg
812,2.6, Chắc chắn k bao giờ quay lại nữa ra mình cũng hay vào PG nhưng cửa hàng ở Trần Đại nghĩa có vẻ là khu gần các trường cho sinh viên nên dịch vụ cực kì hàng bên ngoài nhìn thì khá ok nhưng lên tầng thì ôi hòa ọp ẹp k mát bẩn kinh đấy mình đến với viên thấy học nhóm nên có vẻ khó sau còn tắt cả điều chung là chán lắm,neg
435,5.0, Hè nóng chỉ có ra đây hạ thì buồn buồn tình lại ra đây gặm nhấm cái lạnh ôi thôi rồi cả thì ăn từ cái thời Đến h rủ con bạn thân ra đây ăn thi xem đứa nào ăn đc nh hơn_vui lắm bé đc tầm cái vắng khách thì còn có chỗ,neu
919,1.8, Đồ ăn nhạt Chế biến kiểu như gia đình chứ kp nhà hàng Cái phân biệt rõ nhất giưa đồ nhà và đồ hàng là bí quyêt nc sốt thì ko,neg
370,5.0, Set này hơi ít và gà cũng hơi mặn Được cái có rau thịt đầy đủ dinh nhưng gà mình thấy hương vị không đặc biệt,neu
329,4.2, Chưa bao giờ mình nghĩ là mình sẽ cho một quán ăn nhất là của golden gate một số điểm thấp như này nhưng thực sự sumo bbq đã làm mình quá thất Đầu ai là người nghĩ ra cái trò đổi vỉ để nươngz ba chỉ riêng và các loại khác riêng Thế bây giờ ai muốn ăn ba chỉ thì nhịn còn nếu ăn ba chỉ k đk ăn món Đi đông người mỗi ng khẩu đổi vỉ đến phục vụ mang đồ đã k Mới vào mới bắt đầu có đồ ăn mà còn phải đổi rồi đợi vỉ nóng liên Chưa bao giờ ăn buffet mà đói Bếp thì rất k có hút mùi như Thịt thà khá nhạt k có gì đặc Chính ra thấy tráng miệng kem là ngon Phục vụ thì k biết nên nói Lúc đầu có bạn nữ rất vui vẻ và nhiệt chăm sóc khách tốt nhưng bàn vẫn thiếu Sau đó có vẻ đông lên nên nhân viên có vẻ rối Bàn mình có giục nhưng đó là vì thiếu đồ và các bạn ý bắt đầu tỏ ra khó Gần cuối mình có gọi vài đĩa bạn đã mang ra lượt r sau đó có bạn khác lại bê ra y hệt và mình bảo mình k gọi thì bạn ấy bĩu quay ra tỏ thái độ làm mình rất khó chung là với mức giá ntnay thì có thể tìm đk nhiều nhà hàng chất lg tốt hơn mà k bực mình,neu
316,9.2, Món ăn mới tại Bánh Tráng Trộn Tina thơm mềm hương vị đặc sắc khó quên,pos
272,9.0, Bingsu ngon nhất Hà Nội luôn mình đảm Phần đá bào dc pha từ rất ăn miếng đã thấy ngọt mà là ngọt dịu ấy chứ không gắt Tinh thể đá rất dc bào ra bé xíu nhìn rất thiện Bingsu ở đây có nhiều Mình ăn tất cả các vị rồi thì thấy vị xoài với trà xanh là ngon Xoài ngọt mềm chứ k chua còn có sốt xoài Injeolmi có bánh gạo đi kèm siêu ngon siêu Matcha ăn với đậu đỏ rất match Ngoài ra có Oreo kaf loại rẻ vừa rẻ vừa ngon,pos
813,3.8, đồ uống k giá wifi thì lần nào cũng được mỗi view,neg
462,4.8, Sau lần ghé vào hôm nay mình sẽ tổng kết Vị dễ Giá bình không hẳn là bình cũng không phải là Chất khá ngon so với số quán Huế khác mình đã nhưng vẫn không hợp khẩu vị Phục không biết nói sao cảm giác như bị đuổi khéo từ lúc đặt chân vào đến lúc ăn lần đi thì cả lần mình bị trải nghiệm tồi tệ như vậy và đều là trải nghiệm tệ nhất từ xưa tới thứ nhất vào một phục vụ hỏi mình đi mấy người rồi chỉ tay mời mình ngồi vào Mặt ghế có vũng nước lênh mặt bàn cũng có vũng nước lênh láng và một cuốn menu mở ra quẳng lung Trong lúc mình nhìn quanh để tìm chỗ khác tốt hơn thì bạn phục vụ nhìn chằm chằm vào mình và tiếp tục chỉ tay bảo mình ngồi xuống bàn Mình bảo bàn ghế bạn ấy hình như không nghe thấy và tiếp tục chỉ bảo mình xuống đi Lần này thì mình kiếm cớ chuồn thứ quay lại vì hội bạn Mình đến sớm nhất và trải nghiệm y hệt lặp Lần này thì bạn phục vụ chỉ mình ngồi bàn ở rất Nhưng bàn ghế sạch nên mình cũng ngồi theo sự chỉ mặc dù quán trống rất nhiều bàn tương tự ở chỗ thoáng vừa bạn ấy bảo mình chờ thì gọi Mình bảo ngồi chờ bạn sắp bạn ấy gật và tiếp tục bảo mình gọi Mình bảo cho nước đá lát nữa bữa ăn gọi nước thì bạn ấy bảo không có và ý mình là nước khoáng đóng Vì bạn ấy nhìn mình chằm chằm và lặp đi lặp lại như thể mình từ trên trời rơi nên mình đành đồng ý cho đỡ bị quấy Bạn có nghĩ là bàn ăn giá cả triệu đồng đáng giá hơn nhiều ly nước khoáng vài nghìn đồng Và bạn có nghĩ là khi đã ép mình gọi nước khoáng như vậy thì trong bữa ăn mình cũng sẽ không còn muốn gọi loại nước nào đắt tiền hơn nữa trong suốt bữa bạn phục vụ chỉ chực đặt thìa đũa xuống là ra hỏi đã dọn đi được Mình và các bạn mình mấy lần phải nói là đang và rõ ràng là quán còn trống nhiều chỗ và mới là đầu giờ bạn phục vụ khác thì dọn món tráng miệng ra trong khi bàn mình mới đang ăn nửa món Bạn mình bảo là dọn tráng miệng sớm bạn ấy nhìn và không nói đi thì cứ cho rằng các bạn ấy cư xử chứ không phải đây là nguyên tắc phục vụ chung của nhà nhưng với trải nghiệm như mình không thể cho điểm trung bình về phục Không cũng lại một trải nghiệm tồi tệ nhất từ trước tới gian đông khách ngột ngạt và mùi thức ăn và bàn ghế ở góc bị ngồi ép sát bàn mình không đựng các bát rau sống xếp mỗi bát trung bình có con ruồi to ngồi từ đầu tới cuối bàn mình mỗi người có con ruồi quấy Bu vào bát xua mỏi tay cũng không có tác bữa mình nhìn thấy con gián to bò dưới chân mọi người và len lỏi từ bàn này sang bàn mình gặp gián cũng có một vài nhưng vừa có ruồi nhiều và vừa có gián to béo như ở đây Dù trang trí quán khá nhưng cũng không thể cho điểm trung bình,neu
906,3.2, Hồi quán chưa sửa lại thiết chưa mở rộng thêm tầng nữa thì còn có chút giờ nhìn tô bún bưng ra đã chả muốn Thua cả bún bò bình thg chứ đừng nói là bún bò Nước lèo nhạt thịt với tiết chả ra cái rau sống một Ưu điểm duy nhất là quẩy giòn đi có một mình mà đưa đĩa quẩy tính thêm quán bắt chẹt khách dễ Nhân viên trông xe thì cộc khinh không thấy quán khang trang hơn tưởng đổi mới nên rẽ vào ai dè còn tệ hơn Vái một đi k trở,neg
510,5.0, Theo k hay Không gian k nhưng chung hơn so Ding,neu
